year,Subject code,forfatternavn
1818,"55,-81","Hammeleff, Hans Marinus."
1815,"57,-452","Ludwig, Christine Sophie."
1828,"57,-440","Kruse, H. G."
sa,"55,-66","Faber, Pet. Ditlev."
1823,"59,-25","Winther, Mathias."
1819,"57,-533",Schat.
1827,"57,-196","Kruse, L."
1808-09,"59,-90","Rahbek, K. L."
1814,"56,-8",Babo.
1805,"57,-449","Schulze, F. A."
1802,"17,-184","Laurent, Pierre Jean."
1810-1811,"57,-417","Goethe, Johann Wolfgang."
1827,"56,-51","Kotzebue, A. v."
1809,"58,-105","Johnson, Samuel."
1814,"55,-131","Horrebow, Otto."
1816,"55,-113","Holberg, Ludvig."
1827,"59,-269","Larsen, L. P."
1815,"56,-49","Kotzebue, A. v."
1826,"57,-413","Gilling, F. W."
1791,"43,-26","Schønheider, Joh. Mart."
1795,"42,-195","Discher, M. C."
1647,"42,-264","Mikkelsen, Hans"
1796,"43,-45","Treschow, Herman."
1798,"6:1,-112","Clausen, Henr. Geo."
1656,"32,-29","Berntsen, Arent."
1719,"4,-105","Bilde, Sophie Anders Datter."
1763,"4,-90","Luther, Martin."
1630,"4,-93","Bartholin, Caspar"
1639,"4,-182","Moltke, Joachim."
1834,"53,-359","Laub, Wilhelm Fr."
1866,"53,-343","Kaalund, H. V."
1898,"54,-84",Levin-Winkelmann.
1888,"4,-330","Levetzow, Vilhelmine."
1883,"53,-351","Kok, Martin."
1886,"53,-373","Madsen, Hans."
1886,"53,-362","Lind, P."
1851,"53,-350","Kofod, Lucianus."
1844,"33,-161","Pontoppidan, Børge."
1841,"5,-129","Luther, Martin."
1891,"15,-193","Abrahamsen, M."
1806,"59,-165","Bumann, L."
1825,"14,-456","Sintenis, C. F."
1858,"28,-135","Schiern, Frederik."
1881,"15,-191","Seehusen, H."
1883,"5,-185","Spurgeon, C. H."
1879,"44,-123","Schmidt, P. P."
1894,"57,-374k","Schwartz, M. S."
1896,"57,-374l","Schwartz, M. S."
1890,"33,-84","Schmidt, P. C."
1661,"53,-187","Arreboe, Anders Christensen."
1868,"4,-191","Kingo, Thomas."
1875,"34:1,-239","Lund, T. H."
1794,"4,-189","Kingo, Thomas."
1894,"55,-62","Drachmann, Holger."
1877,"42,-128","Monrad, D. G."
1851,"34:3,-446","Müller, C. L."
1872,"47,-180","Hviid, A."
1899,"47,-383","Ottesen, Chr."
1849,"47,-176","Schwartz, Athalia."
1859,"47,-377","Fistaine, G."
1889,Særtrykssamlingen,"Bang, Vilhelm."
1684,"7,-128","Bagger, Hans"
1895,"6:1,-54","Baumann, J. R."
1849,"53,-196","Bang, O. Lundt."
1865,"5,-15","Baxter, Richard."
1890,"1,-475",Basilius Magnus.
1869,"11,-62","Bauer, Adolf."
1879,"47,-437","Baruël, Euchare."
1889,"42,-225","Bang, Vilhelm."
1891,"34:3,-11","Bang, Vilhelm."
1823,"42,-194","Bang, J."
1683,"7,-128","Bagger, Hans"
1787,"42,-114","Paludan, Peder."
1808,"17,-181","Galeotti, Vincenzo."
1802,"17,-181","Galeotti, Vincenzo."
1830-1831,"14,-75","Bastholm, H."
1888,"14,-113","Kroman, K."
1882,"6,1-245","Kierkegaard, S."
1862,"6,1-244","Kierkegaard, Søren."
1734,"4,-246","Dass, Peter."
1879,"3,-335","Wolff, Aug."
1846,"27,-64","Hoffmeyer, A. B."
1805,"34:4,-58","Hellfried, Carl Friedr. v."
1848,"25,-64","Hofman Bang, N. E."
1867,"27,-351","Herholdt, J. D."
1873,"40:1,-109","Helms, Jac."
1861,"45,-203","Henrichsen, Rud. Johs. Fred."
1896,"6:1,-198","Helms, Fr."
1820,"28,-44","Thaarup, Frederik."
1639-58,"6:2,-41","Medelby, Poul Andersen."
1806,"34:4,-132","Wedel, Lago Matthias."
1895,"30:2,-90","Bering Liisberg, H. C."
1887,"30:2,-51","Kaufmann, Richard."
1840,"30:2,-95","Høst, Alvild Th."
1869,"46,-219","Smith, Sophus Birket."
1842,"30:2,-100","Carové, Friedrich Wilh."
1831,"30:2,-100","Gomez, F. J. C."
1838,"30:1,-226","Dahlmann, Friedr. Cph."
1878,"28,-111","Barner, C."
1873,"28,-111","Dalgas, E."
1885,"30:2,-104","Neergaard, N."
1875,"46,-202","Nielsen, Frederik."
1889,"30:2,-51","Kaufmann, Richard."
1852-58,"30:2,-19","Macaulay, Thomas Babington."
1860,"46,-213","Uhde, Emil."
1874,"46,-183","Wilckens, Carl Frederik."
1860,"8,-201","Larsen, J. E."
1785,"4,-195","Harboe, Ludvig."
1862,"54,-86","Winther, Christian."
1818-1833,"57,-9","Elmquist, Adolph Frederik."
1889,"38,-54","Bredsdorff, Chr."
1890,"57,-504","Suttner, Bertha von."
1855,"1,-500","Adler, Adolph Peter."
1857,"5,-22","Adler, Adolph Peter."
1681,"5,-280","Aaskov, Jørgen Lauridsen."
1610,"44,-222","Arctander, Niels Lauridsen."
1835,"15,-238","Blumauer, Karl."
1637,"1,-493",Bernhardi.
1862,"47,-386","Schumacher, F."
1899,"47,-383","Jacobsen, L."
1841,"47,-385","Ancker, Em. Ferd."
1863,"47,-179","Rasmussen, P."
1836,"47,-375","Mariboe, Carl."
1886,"47,-381","Kaarup, Alb."
1865,"47,-366","Oxenstierna, E. G."
1880,"47,-182","Nielsen, R. H."
1896,"47,-383","Thaning, Kirstine."
1847,"47,-175","Jacobsen, A."
1892,"15,-274","Thyregod, S. Tvermose."
1855,"15,-249","Rosenhoff, Claudius."
1892,"15,-274","Wiwel, N."
1875,"57,-482",Sacher-Masoch.
1890,"15,-272","Eriksen, Vilhelm."
1888,"57,-480","Riedl, Xaver."
1857,"57,-480","Schele, Anne Diederik van Buren."
1858,"15,-190","Schjøth, Jens."
1829,"52,-55","Liunge, Andreas Peter."
1893,"9,-170","Blom, Gustav."
1835,"11,-44","Schmidt, J."
1898,"10,-277","Stein, V. Saxtorph."
1857,"10,-179","Valentin, G."
1883-85,"10,-291","Panum, P. L."
1887,"10,-330","Miller, O. P."
1879,"58,-281","Goncourt, Jules de."
1873-1874,"58,-277","Gaboriau, Emile."
186-?,"58,-276","François, Pierre."
1890,"58,-282","Gréville, Henry."
1856,"58,-250","Dumas père, Alexander."
1890,"58,-282","Gréville, Henry."
1890,"58,-406","Dostojevskij, F. M."
1893-94,"58,-253","Dumas père, Alexander."
1860,"58,-268","Féval, Paul."
1877,"58,-407","Gontscharoff, J."
1896,"58,-250","Dumas père, Alexander."
1868,"58,-253","Dumas père, Alexander."
1892,"58,-391","d Annunzio, Gabriele."
1895,"30,2-254","Læssøe, A. F."
1885,"56,-361",Ghislanzoni.
1896,"34:4,-207a","Bøggild, Bernhard."
1834,"3,-101","Boisen, Lars Nannestad."
1894,"23,-64","Nehm, V."
1872,"19,-46","d Arrest, H."
1884,"19,-34","Jørgensen, G. S."
1805,"48,-7","Antoninus, Marcus Aurelius."
1800,"11,-67","Mangor, Chr. Elor."
1808,"6:1,-98","Bugge, Peter Olivarius."
1863,"53,-179","Aarestrup, Emil."
1870,"53,-238","Bødtcher, Ludvig."
1898,"53,-223","Brandes, Georg."
1847,"53,-196",Ernst.
1852,"54,-61","Bolle, Tom."
1861,"53,-196","Bang, O. L."
1832,"53,-231","Bruun, T. C."
1872,"53,-204","Bergsøe, Vilhelm."
efter 1874,"53,-219","Borchsenius, J. Valdemar."
1864,"53,-226","Bruun, Camillo."
1879,"53,-200","Bauditz, Sophus."
1873,"53,-199","Barfod, H. P."
1817,"55,-257","Oehlenschläger, Adam."
1812,"56,-221","Etienne, Charles Guillaume."
1817,"54,-101","Oehlenschläger, Adam."
1813,"55,-255","Oehlenschläger, Adam."
1810,"56,-150","Shakspeare, William."
1822,"56,-149","Scott, Walter."
1807,"53,-140","Cohen, E. M."
1811-1813,"52,-119","Oehlenschläger, Adam."
1830,"54,-14","Rumohr, Theodor Vilhelm Kjerstrup."
1806,"54,-5","Rasch, Friderik."
1894,"23,-311","Mangor, A. M."
1874,"23,-322","Knobelauch, Bolette."
1893,"57,-121","Eegholm, Camilla."
1744,"5,-185","Spener, Philip Jacob."
1608,"35,-188","Tidemand, Hans."
1899,"30:1,-70","Ottosen, Johan."
1807,"47,-356","Schultz, Nic. Stockfleth."
1888,"4,-17b","Lyngby, Th."
1878,"28,-94","Twain, Mark."
1877,"38,-94","Nyholm, C. V."
1888,"38,-109","Evers, Georg."
1878,"38,-95","Bille, C. St. A."
1884,"38,-102","Ruhweder, H. M."
1670,"48,-35",Hesiodus.
1885,"38,-103","Borch, Chr."
1803,"5,-388","Balslev, Rasmus."
1878,"38,-95","Frederiksen, Lars."
1895,"38,-117","Groth, V."
1884,"38,-102","Holm, Harald."
1899,"38,-122","Hviid Nielsen, Joh."
1804,"41:2,-25","Baden, Gustav Ludvig."
1847,"53,-150",Møller.
1763,"10,-81","Møller, Hans."
1867-1879,"34:2,-355","Møller, Jens."
1855,"32,-193","Møller, Fred. Ferd."
1820,"32,-382","Møller, H."
1800,"34:3,-361","Randrup, Eggert Chr. Schnadel."
1808-09,"34:3,-134","Nissen, Niels Lang."
1866,"30:2,-287",Gray.
1757,"28,-137","Haven, Peder von."
1889,"34:2,-99","Rist, P. Fr."
1877,"2,-242b","Nielsen, Chr."
1827,"47,-356","Bruun, Thom. Cph."
1772,"4,-242","Bruun, Samuel Olsen."
1830,"2,-193","Andersen, Eilert."
1824,"4,-212","Thisted, Jørgen."
1824,"4,-436","Baggesen, J."
1817,"3,-207","Møller, Jens."
1689,"1,-117",Arngrímur Þorkelsson Vídalín.
1831-1844,"34:1,-322","Albertus, Magn. Anth. Ad."
1878,"34:1,-326","Hassing, V. V."
1879,Særtrykssamlingen,"Lorenz, L."
1899,"34:3,-162","Feilberg, G. J. L."
1894,"55,-20","Andersen, H. C."
1899,"57,-77","Andersen, H. C."
1763,"3,-123","Sahl, Laur."
1878,"55,-20","Andersen, H. C."
1857,"29,-215","Layard, Austen Henry."
1855,"14,-277",Ambrosio.
1899,"59,-32","Grimm, Jacob."
1898,"31,-124","Sørensen, William."
1871,"14,-497","Mau, E."
1880,"52,-63","Bergsøe, Vilhelm."
1898,"53,-204","Bergsøe, Vilhelm."
1873,"18,-251","Knudsen, L."
1870,"57,-30","Blicher, P. B."
1883,"57,-14","Rygaard, Harald."
1865,"18,-132","Raben, Niss Chr."
1888,"27,-365","Windfeld Hansen, Ib."
1880,"24,-66","Nielsen, P."
1881-1886,"25,-13","Hutzen, F."
1832,"24,-60","Hansen, Jørgen."
1856,"22,-18","Kirchhof, Emil."
1860,"24,-120","Clausen, C. G."
1859,"24,-135","Knutzen, H. D."
1860,"24,-48","Valentiner, A."
1846,"25,-10","Beyer, M."
1885,"25,-28","Goldschmidt, Harald."
1888,"21,-88","Gundel, E. V. P."
1898,"21,-242","Løvendal, E. A."
1831,"21,-173",Dralet.
1862,"24,-152","Nielsen, A. C."
1885,"21,-188","Grundtvig, F. L."
1894,"44,-91","Hornemann, Holger."
1862,"24,-65","Liebig, Justus."
1835,"24,-61","Elsner, J. G."
1875,"44,-94","Hovmøller, H. K. A."
1899,"21,-110","Engell, M. C."
1879,"24,-136","Nielsen, P."
1896,"45,-77","Høyer Møller, Erik."
1841,"43,-173","Høegh-Guldberg, Christian."
1898,"21,-182","Faber, A. H."
1899,"21,-124","Paulli, Simon."
1898,"21,-183","Andersen, Knud."
1860,"25,-91","Brun, A."
1897,"34,4-208c","Korsholm, Julius."
1856,"25,-113","Abildgaard, P. C."
1830,"57,-102","Bræmer, Otto Ferdin."
1811,"56,-200","Desaugiers, Marc Antoine Madeleine."
1892,"32,-149","Brock, P."
1821,"55,-130","Holten, Carl v."
1817,"56,-50","Kotzebue, A. v."
1891,"32,-149","Brock, P."
1803,"57,-532","Abahamson, Ludv. Aug."
1825,"58,-243","d Arlincourt, Victor Vicomte."
1819,"56,-199","Delrieu, Etienne Joseph Bernard."
1881,"23,-296","Breinholdt, N. B."
1802,"57,-513","Wall, Anton."
sa,"59,-123","Mikkelsen, Hans"
1816-17,"57,-533","Werfel, Joh."
1812,"17,-184","Laurent, Pierre Jean."
1800,"56,-46","Kotzebue, Aug. v."
1829,"57,-451","Lohmann, Frederike."
1828,"58,-154","Scott, Walter."
1802,"55,-109","Holberg, Ludvig."
1809,"56,-6","Arresto, Christlieb Georg Heinr."
1809,"56,-202",Desforges.
1815,"56,-50","Kotzebue, A. v."
1802,"56,-215","Duval, Alex. Vinc. Pineux."
1820,"56,-132","Byron, George Gordon."
1805,"57,-524","Zschokke, Heinr."
1827,"55,-92","Heiberg, Johan Ludvig."
1821,"57,-195","Kruse, L."
1837,"6:2,-8","Leth, Albert."
1836,"1,-482",Polykarp.
1745,"36,-117","Kierulf, Jonas."
1800,"52,-238","Knudsen, Niels."
1767,"54,-64","Tullin, Chr. Br."
1747,"36,-180","Juul, Michael."
1772,"37,-52","Brun, Martin."
1801,"54,-60","Tode, Joh. Clem."
1696,"45,-226","Carstens, Jørgen."
1883,"47,-438","Broberg, S."
1898,"59,-29","Asbjørnsen, P. Chr."
1892,"56,-90","Schiller, Fredrich."
1850,"48,-64",Platon.
1888,"47,-338","Kaper, J."
1893,"47,-283","Kaper, J."
1890,"47,-338","Kaper, J."
sa,"43,-7","Fibiger, Johannes."
1884,"5,-16","Caspari, K. H."
1896,"42,-60","Carøe, K."
1860-65,"52,-91","Ingemann, B. S."
1630,"35,-226","Ferring, Christen Christensen."
1793,"41:1,-388","Wulfsberg, Jac."
1899,"57,-124","Ewald, H. F."
1891,"57,-124","Ewald, H. F."
1733,"21,-309",Rousset.
1791,"26,-42","Ottesen, Otto."
1746,"22,-87","Westbeck, Gustaf."
1625,"19,-155","Heldvad, Niels."
1894,"34:1,-240","Bojsen, Nikolaj."
1897,"34:1,-240d","Abrahams, A. P. C."
1837,"28,-195","Ross, John."
1881,"16,-196","Holm, Harald."
1862,"28,-46","Høyen, S."
1897,"34:1,-238","Budde, L."
1832,"33,-230","Hempel, Søren."
1883,"34:3,-378","Moldenhawer, J."
1887,"16,-196","Nielsen, J."
1820,"34:4,-330","Tutein, Fr."
1868,"34:1,-273","Mundt, C. E."
1817,"34:4,-283","Villaume, Ch. Ant."
1809,"34:3,-248","Zeuthen, Peter Christian."
1828,"34:4,-193","Neergaard, Jens Veibel."
1827,"34:3,-437","Spengler, Johan Conrad."
1856,"1,-127",Salomon.
1880,"21,-165","Reinhardt, J."
1861,"4,-199","Bramsen, Ludvig"
1890,"42,-295","Rørdam, Skat."
1898,"53,-168","Holm, P. A."
1888,"5,-16","Ryle, J. C."
1893,"16,-240","Rostrup, Kaspar."
1898,"3,-360","Christensen, George."
1862,"47,-280","Rung, Fr."
1888,"6:2,-132","Rørdam, T. Skat."
1897,"23,-111","Rom, N. C."
1867,"22,-238","Reinhardt, J."
1894,"54,-160g","Runeberg, J. L."
1889,"44,-35","Schepelern, G."
1868,"21,-165","Reinhardt, J."
1886,"4,-78","Scharling, C. Henrik."
1878,"3,-416","Pontoppidan, Erik Ludvigsen."
1849,"46,-4","Secher, Adolph."
1851,"53,-386","Paludan-Müller, Frederik."
1671,"35,- 413","Hertzholm, Ivar."
1872,"38,-85",J. V.
1814,"53,-216","Blicher, Steen Steensen."
1811,"34:4,-112","Blicher, Niels."
1861,"57,-376","Cohen, A. D."
1851,"23,-119","Green, Ole Chr."
1894,"5,-173","Schimmelmann, Adeline."
1871,"6:1,-157","Gad, Chr. S."
1871,"6:1,-165","Graae, G. Fr. A."
1802,"34:1,-11","Graah, Pt. Hersleb."
1855,"3,-72","Gamborg, Anders Larsen."
1824,"47,-429","Gedike, Friederich."
1882,"34:1,-282","Gram, F."
1884,"21,-273","Graff, L. v."
1855,"42,-191","Goldschmidt, M."
1862,"6:1,-175","Guthrie, Th."
1879,"6:1,-164","Godet, F."
1859,"14,-261","Goldschmidt, M."
1862,"58,-245","David, R. G."
1877,"58,-244","Daudet, Alphonse."
1889,"28,-53","Holst, Johannes."
1889,"28,-10","Hoffmeyer, J."
1863,"28,-64","Klee, Frederik."
1857,"28,-50","Rimestad, C. V."
1886,"28,-51","Erslev, Ed."
1855,"28,-50","Müller, S. C."
1877,"28,-51","Nielsen, P."
1857,"28,-50","Rimestad, C. V."
1866,"28,-51","Erslev, Ed."
1874,"28,-7","West, J. C."
1847,"30:1,-7","Michelet, Jules."
1882,"28,-51","Erslev, Ed."
1841,"18,-309","Langkjer, Svenné."
1844,"20,-49","Fischer, J. G."
1881,"20,-52","Schmidt, Karl."
1874,"20,-52","Lund, T. H."
1880,"47,-357","Rosing, S."
1729,"36,-107","Wielandt, J."
1782,"36,-89","Schønheyder, Joh. Christ."
1749,"36,-189","Grønvold, Pauel."
1735,"36,-123","Isenfeld, Nic."
1746,"36,-176","Mossin, Hans."
1804,"33,-332","Rohde, P. S."
1880,"4,-197","Rørdam, Peter."
1881,"23,-197","Rosenkjær, M. A. N."
1885,"38,-103","Rørdam, Thom."
1886,"45,-206","Schepelern, G."
1854,"47,-322","Rung, G. F. F."
1818,"54,-74","Rochow, Friderich Eberhard von."
1856,"4,-197","Rørdam, Peter."
1898,"47,-182","Schneekloth, K. A."
1885,"20,-406","Sebelien, John."
1898,"3,-360","Lund, C. N."
1864,"21,-164","Reinhardt, J."
1890,"3,-19","Schack, A."
1897,"16,-102","Scharling, William."
1882,"4,-221","Ottosen, H."
1875,"44,-274","Rørdam, P."
1883,"24,-106","Schmidt, Thorvald."
1837,"53,-222","Boye, Casp. Joh."
1881-95,"15,-193","Kristensen, Niels."
mellem 1814 og 1833,"17,-231","Lahde, Gerhard Ludvig."
1871,"58,-192","Mackarness, Henry S."
1897,"52,-95","Lassen, Jul."
1879,Særtrykssamlingen,"Lange, Jul."
1897,"58,-192","Mackarness, Henry S."
1896,"11,-73a","Larsen, Mich."
1854,"5,-119","Larsen, Jens."
1897,"41:1,-167","Kaarsberg, Hans S."
1868,"22,-121","Lange, M. T."
1848,"37,-421","Thorkild, Chr. U."
1881,"17,-243","Pacht, Vilh."
1877,"42,-271","Bruun, C. F."
1859,"25,-49","Kastrup, N. P."
1863,"54,-19","Schandorph, Sophus."
1888,"24,-86","Dalgas, E."
1890,"25,-56","Dyhre, L."
1868,"54,-11","Rosendahl, H."
1898,"54,-19","Schandorph, S."
1834,"24,-116","Petersen, C. F."
1865,"40:2,-351","Düring, Ernst von."
1886,"54,-23","Schrøder, B. E."
1861,"54,-9","Richardt, Christian."
1875,"54,-13","Rosing, M."
1866,"24,-93","Jochimsen, Th."
1874,"25,-60","Jensen, P. C."
1890,"25,-28","Andersen, Søren Pt. Nielsen."
1893,"24,-86","Dalgas, E."
1889,"35,-129","Erslev, Kristian."
1866,"1,-312","Larsen, A. C."
1856,"3,-449","Dybdal, P. C."
1898,"25,-62a","Ellbrecht, G."
1883,"47,-378","Eibe, N. Jul."
1890,"45,-96","Ehlers, E. S."
1898,"15,-278","Eriksen, Vilhelm."
1885,"34:1,-15","Erslev, Kr."
1885,"1,-334","Bugge, F. W."
1891,"2,-250","Broholm, Eman."
1793,"28,-101","Baggesen, Jens."
1863,"57,-101","Etlar, Carit."
1738,"36,-154","Sparkjær, Peder."
1795,"47,-69","Baden, Jacob."
1736,"47,-275","Schaller, Johannes."
1797,"8,-247","Brorson, Chr. Bagger."
1860,"47,-211","Rovsing, K."
1740,"1,-130","Ursin, Georg."
1882,"47,-225","Grundtvig, Svend."
1879,"53,-352","Krag, Ove."
1867,"2,-91","Kurtz, J. H."
1885,"4,-277","Koed, Fr. H."
1875,"35,-118","Kinch, J."
1812,"34:1,-137","Tøttrup, Ferdinand."
1825,"34:1,-12","Thaarup, Fredr."
1804,"33,-311","Wandall, Peder Friis."
1895,"30:2,-263","Sarauw, Chr."
1892,"51,-152","Jørgensen, F. Th."
1889,"28,-156","Richardt, Christian."
1824-1828,"52,-102","Pram, Christen."
1677,"54,-65","Tvilling, Søren Hansen."
1884,"5,-138","Müller, Heinr."
1854,"35,-136","Høst, Joh. Nik."
1853,"35,-42","Nissen, I."
1869,"35,-46","Reimer, A."
1897-1901,"37,-115","Østergaard, Vilhelm."
1854,"35,-40","Munthe, Eil. Chr. K."
1852,"34:3,-21","Dirckinck-Holmfeld, C."
1794,"3,-37","Jacobi, Jo. Fr."
1830,"44,-275","Gesner, Joh. Ludv."
1800,"42,-128","Kofod, Børge Poscholan."
1893,"57,-209","Lundgaard, Christian."
1808,"6:1,-46","Balle, Nic. Edinger."
1819,"45,-193","Fibiger, Joh. Adolph."
1827,"42,-119","Arentz, Hans Severin."
1885,"57,-207","Lorentzen, C."
1820,"44,-129","Jessen, C."
1803-12,"34:4,-133","Begtrup, Gregers Otto Bruun."
1798,"5,-97","Holmboe, Michael."
1825,"6:1,-75","Boesen, Jørg. Fr."
1827,"41:1,-317","Rist, Jonas."
1866,"22,-134","Rostrup, E."
1850,"1,-485","Scharling, Carl Emil."
1869,"9,-116","Scheel, A. W."
1843,"4,-213","Lindberg, Jacob Christian."
1853,"15,-166","Rasmussen, Andreas C."
1866,"33,-230","Borch, Theodor."
1819,"32,-246","August, Henning."
1860,"34:1,-192","Jürgensen, Chr."
1899,"34:1,-240c","Dalhoff, N."
1891,"33,-231","Hempel, S."
1840,"34:1,-383","Schram, Gustav."
1890,"58,-67","Donovan, Dick."
1872,"15,-261","Gräbner, G. A."
1895,"58,-67","Donovan, Dick."
1898,"58,-112","Kingsley, Florence Morse."
1868,"58,-52","Crack, Georgiana M."
1891,"58,-93","Haggard, H. Rider."
1875,"23,-340","Mangor, A. M."
1881,"23,-340","Mangor, A. M."
1897,"20,-361","Jørgensen, Alfred."
1889,"27,-383","Vedel, P."
1899,"28,-56","Hoffmeyer, J."
1851,"28,-49","Schouw, J. F."
1873-1875,"30:1,-67","Bloch, V. A."
1898,"28,-57","Holst, Johannes."
1855,"28,-48","Thrige, S. B."
1899,"28,-55","Dahlberg, P."
1865,"28,-51","Erslev, Ed."
1847-1851,"28,-96",Dumont d Urville.
1872,"28,-52",Cortambert.
1891,"28,-55","Thrige, S. B."
1868,"30:1,-67","Bang, J. P."
1898,"6:1,-22","Krag, P."
1811,"23,-301","Bergsøe, Johan Frederik."
1809,"24,-157","Begtrup, Gregers Otto Bruun."
1829,"30:1,-62","Grundtvig, Nik. Fred. Sev."
1818,"28,-103","Hauch, Johannes Carsten."
1811,"20,-30","Jacobsen, Pet."
1899,"42,-97","Larsen, Axel."
1806,"18,-349","Lund, Hans Chr."
1819,"30:2,-124","Elmquist, Adolph Fr."
1819,"29,-75","Alstrup, A. C."
1818,"27,-296","Løwenørn, Paul de."
1802,"21,-177","Bechstein, J. M."
1801,"24,-139","Crøger, Johannes."
1815,"30:1,-174","Grundtvig, N. F. S."
1802,"18,-336","Büsch, Johann Georg."
1800,"30:1,-79","Heeren, Arn. Herm. Ludw."
1800,"30:2,-84","Hagerup, Math."
1827,"22,-8","Herholdt, Joh. Dan."
1883,"30:2,-41","Hansen, Adolf."
1826,"18,-176","Brændgaard, P. C."
1892,"42,-112","Andersen, R."
1828,"18,-327","Hetsch, Gustav Friderik."
1828,"26,-92","Bjerregaard, Hans."
1819,"44,-206","Kroymann, Heinrich."
1811,"42,-131","Bagge, Ove Geo. Fr."
1856,"57,-451","Lobedanz, Edmund."
1899,"57,-209","Lund, M. M."
1812,"41:1,-390","Arnesen, Poul."
1827,"42,-267","Brorson, Chr. Frid."
1819,"45,-73","Rahbek, Knud Lyne."
1828,"45,-225","Smith, D. P."
1810,"42,-143","Klingberg, Henr. Matth. Wilh."
1886,"3,-216","Monrad, D. G."
1884,"6:2,-25","Madsen, J. Kr."
1880,"4,-285","Madsen, Pd."
1874,"3,-75","Monrad, D. G."
1890,"34:2,-290","Paludan-Müller, J."
1890,"13,-55","Levison, F."
1893,"12,-360","Lange, Victor."
1886,"13,-55","Lehmann, Julius."
1896,"13,-56","Hartmann, Franz."
1877,"12,-368","Kjærtinge, Chr."
1879,"12,-368","Haderup, V."
1880,"12,-362","Lange, Victor."
1854,"33,-58","Lund, M. M."
1894,"57,-93","Bierfreund, Theodor."
1898,"12,-370","Andresen, Viggo."
1870,"57,-92","Betzonick, G. E."
1895,"57,-89","Benzon, P. E."
1893,"57,-59","Aarslev, Georg."
1888,"57,-59","Aarslev, G."
1885,"57,-96","Bondesen, Ingvor."
1661,"48,-16",Epictetus.
1873,"3,-75","Blædel, N. G."
1869,"54,-160f","Bellman, Carl Michael."
1854,"47,-72","Dorph, N. V."
1869-98,"57,-289","Thyregod, C. A."
1777,"1,-148","Brabrand, Johan Ludvig."
1730,"4,-20","Nyborg, Søren."
1636,"1,-121","Lauridsen, Oluf."
1897,"47,-214","Pinholt, J. Gr."
1843,"47,-259","Fix, J. H."
1867,"15,-171","Boberg, C. I."
1851,"34:1,-362","Petersen, Chr."
1884,"15,-193","Rom, N. C."
1886,"47,-212","Hjorth, Karl."
1881,"47,-261","Boysen, A."
1879,"15,-193","Larsen, Joakim."
1854,"47,-241","Hagerup, Ejler Henning."
1887,"15,-193","Rom, N. C."
1882,"34:3,-339","Jørgensen, G. S."
1868,"50,-173","Fausbøll, V."
1847,"25,-43","With, G. C."
1895,"23,-154","Jürgensen, Chr."
1866,"23,-330","Henningsen, M."
1883,"23,-330","Fuglsang, Chr. G. P."
1892,"24,-81",Tvermoes.
1852,"43,-78","Wegener, C. F."
1898,"43,-68","Hannover, Emil."
1801,"37,-124",Aagaard.
1753,"4,-189","Kingo, Thomas."
1889,"55,-122","Holberg, Ludvig."
1849,"55,-129","Holst, H. P."
1849,"55,-175","Nielsen, Henriette."
1896,"55,-93","Heiberg, J. L."
1890,"55,-91","Heiberg, Gunnar."
1862,"55,-120","Holberg, Ludvig."
1842,"55,-147","Jørgensen, P. N."
1886,"55,-150","Kielland, Alexander L."
1862,"55,-128","Holst, Emil."
1862,"55,-122","Holberg, Ludvig."
1852,"55,-187","Ploug, Carl."
1863,"55,-129","Holst, H. P."
1869,"55,-120","Holberg, Ludvig."
1884,"55,-88","Hauch, C."
1883,"55,-66","Faber, Villiam."
1858,"55,-88","Hauch, C."
1885,"55,-146","Jæger, Henrik."
1838,"57,-373ah","Knorring, Sofia Margaretha."
1839,"57,-125","Faber, Peder Ditlev."
1831-1833,"59,-69","Bagge, Oluf Olufsen."
1839,"58,-249","Dumas père, Alexander."
1831,"57,-421","Hanke, Johanne Henriette."
183-?,"59,-166","Pram, Ole."
16--?,"46,-217","Paulli, Jacob Henrik."
1883,"57,-261a","Schandorph, Sophus."
1884,"57,-158","Hansen, Kristine."
1899,"57,-142","Grønborg, Andr. Thøgersen."
1788,"45,-18","Martfelt, Christian."
1874,"57,-151","Hammer, Philip."
1863,"57,-137","Gjørup, Michael."
1855,"57,-137","Val, Rudolph de."
1855,"57,-137","Val, Rudolph de."
1852,"57,-136","Gram, Morten."
1890,"57,-148","Haagensen, Thorvald."
1875,"47,-322","Rung, G. F. F."
1869,"30:2,-240","Holst, H. P."
1873-1875,"58,-38","Bulwer, Edward Lytton."
1899,"58,-29","Baring-Gould, S."
1879,"58,-33","Braddon, Mary Elizabeth."
1810-1811,"16,-66","Treschow, Niels."
1827,"8,-202","Møll, Johs. Wilh."
1801,"20,-65","Svendsen, Andr."
1823,"9,-91","Skovgaard, Pt. Nik."
1806,"20,-30","Salling, Severin Christian."
1811,"14,-22","Treschow, Niels."
1895,"18,-151","Hansen, Chr."
1848,"2,-5","Daugaard, Jacob Brøgger."
1758,"3,-416","Pontoppidan, Erik Ludvigsen."
1851,"34:2,-93","Hummel, C. W. A."
1861,"27,-34","Fog, Ludolph."
1849,"27,-33",Marskalk Bugeaud.
1894,"27,-60","Blom, Otto."
1892,"47,-330","Rasmussen, C."
1853,"47,-324","Lassen, H. C. F."
1894-1896,"47,-338","Gudme, Olaf."
1885,"47,-338","Kaper, J."
